1.515398859977722168e+00,4.533493995666503906e+00,8.153446912765502930e-01,7.136603817343711853e-03,1.951931789517402649e-02,-5.857642292976379395e-01,8.102149963378906250e-01,-6.427692621946334839e-02,-5.018595140427350998e-03,-2.179986387491226196e-01,1.746788062155246735e-02,-5.296464078128337860e-04,-6.348269432783126831e-02,9.252535551786422729e-02,-2.467431360855698586e-03,-4.707344472408294678e-01,-3.095299191772937775e-02,-1.129592359066009521e-01,-1.932351663708686829e-02,-2.649083137512207031e-01,7.340398151427507401e-03,-6.390186399221420288e-02,-3.171643614768981934e-01,1.572070240974426270e+00,-1.514017730951309204e-01,7.971773743629455566e-01,1.303672939538955688e-01,3.782928586006164551e-01,-9.292287752032279968e-03,2.497193813323974609e-01,-1.427373051643371582e+00,-4.246971905231475830e-01,7.254889607429504395e-01,-1.197812929749488831e-01,3.505115807056427002e-01,-1.234537959098815918e-01
1.517457723617553711e+00,4.535457611083984375e+00,8.151748776435852051e-01,-3.178931027650833130e-02,-3.071455098688602448e-02,-6.954054236412048340e-01,7.172567844390869141e-01,6.795957684516906738e-02,4.539153724908828735e-02,7.957023382186889648e-02,1.481406688690185547e-01,-7.508476823568344116e-02,-2.424560114741325378e-02,1.111469268798828125e-01,-1.541465055197477341e-02,-2.045292407274246216e-01,1.219724863767623901e-01,-1.093443557620048523e-01,1.626789383590221405e-02,3.700276091694831848e-02,2.295094355940818787e-02,1.584758758544921875e-01,-3.546004891395568848e-01,1.547806978225708008e+00,-8.772339671850204468e-02,1.426950216293334961e+00,3.056363761425018311e-01,2.640030086040496826e-01,7.735447585582733154e-02,2.681368887424468994e-01,-1.446159839630126953e+00,-5.425741076469421387e-01,1.307282686233520508e+00,-9.121475368738174438e-02,2.670390307903289795e-01,-4.221834242343902588e-01
1.517608761787414551e+00,4.535789489746093750e+00,8.151143789291381836e-01,-3.343499079346656799e-02,-3.209761902689933777e-02,-6.948680877685546875e-01,7.176421284675598145e-01,6.994898617267608643e-02,4.556141421198844910e-02,7.825878262519836426e-02,1.522071957588195801e-01,-7.491052150726318359e-02,-2.371409535408020020e-02,1.140040382742881775e-01,-1.582638733088970184e-02,-2.059580236673355103e-01,1.254090815782546997e-01,-1.093433499336242676e-01,1.617428846657276154e-02,3.626363724470138550e-02,2.389599382877349854e-02,1.646941900253295898e-01,-3.536170721054077148e-01,1.549830079078674316e+00,-8.839263767004013062e-02,1.426762819290161133e+00,3.081666231155395508e-01,2.639194130897521973e-01,7.658277451992034912e-02,2.748326361179351807e-01,-1.445849537849426270e+00,-5.490982532501220703e-01,1.308695554733276367e+00,-9.486030042171478271e-02,2.665279805660247803e-01,-4.205201864242553711e-01
1.517745018005371094e+00,4.536044120788574219e+00,8.151163458824157715e-01,-3.388091176748275757e-02,-3.261588513851165771e-02,-6.944819688796997070e-01,7.179715037345886230e-01,7.078607380390167236e-02,4.508851841092109680e-02,7.740586996078491211e-02,1.525439023971557617e-01,-7.499934732913970947e-02,-2.340168133378028870e-02,1.152025014162063599e-01,-1.631874777376651764e-02,-2.068469077348709106e-01,1.258228123188018799e-01,-1.097551658749580383e-01,1.643396914005279541e-02,3.590431436896324158e-02,2.465271204710006714e-02,1.670448631048202515e-01,-3.512697517871856689e-01,1.552062630653381348e+00,-8.852181583642959595e-02,1.426179528236389160e+00,3.099705576896667480e-01,2.637557685375213623e-01,7.668612897396087646e-02,2.830111086368560791e-01,-1.446476936340332031e+00,-5.562432408332824707e-01,1.309173703193664551e+00,-9.724828600883483887e-02,2.663735151290893555e-01,-4.188437461853027344e-01
1.517846107482910156e+00,4.536302089691162109e+00,8.151314854621887207e-01,-3.397602587938308716e-02,-3.282003104686737061e-02,-6.941216588020324707e-01,7.183060646057128906e-01,7.080473005771636963e-02,4.456730186939239502e-02,7.659404724836349487e-02,1.522877365350723267e-01,-7.456980645656585693e-02,-2.313243225216865540e-02,1.154573261737823486e-01,-1.679093949496746063e-02,-2.076935172080993652e-01,1.258892416954040527e-01,-1.098029315471649170e-01,1.657032221555709839e-02,3.550929203629493713e-02,2.527328766882419586e-02,1.682108342647552490e-01,-3.484348058700561523e-01,1.554376602172851562e+00,-8.772537112236022949e-02,1.425238966941833496e+00,3.107074201107025146e-01,2.638776302337646484e-01,7.818033546209335327e-02,2.918682098388671875e-01,-1.447597026824951172e+00,-5.645282268524169922e-01,1.309141159057617188e+00,-9.839197248220443726e-02,2.662367224693298340e-01,-4.183452725410461426e-01
1.517926931381225586e+00,4.536548137664794922e+00,8.151555657386779785e-01,-3.390753269195556641e-02,-3.286284208297729492e-02,-6.937806010246276855e-01,7.186367511749267578e-01,7.037229090929031372e-02,4.406548291444778442e-02,7.580509036779403687e-02,1.519011259078979492e-01,-7.397638261318206787e-02,-2.290694043040275574e-02,1.152581870555877686e-01,-1.721098087728023529e-02,-2.084818333387374878e-01,1.258216202259063721e-01,-1.097685545682907104e-01,1.661540195345878601e-02,3.493599966168403625e-02,2.575143612921237946e-02,1.687343120574951172e-01,-3.451830446720123291e-01,1.556448817253112793e+00,-8.595107495784759521e-02,1.424172639846801758e+00,3.106809854507446289e-01,2.643711864948272705e-01,8.071717619895935059e-02,3.000731170177459717e-01,-1.449006438255310059e+00,-5.723674893379211426e-01,1.309067249298095703e+00,-9.888475388288497925e-02,2.663511633872985840e-01,-4.192792475223541260e-01
1.518006920814514160e+00,4.536761760711669922e+00,8.151860237121582031e-01,-3.376044705510139465e-02,-3.282202780246734619e-02,-6.934908628463745117e-01,7.189251780509948730e-01,6.978086382150650024e-02,4.359975457191467285e-02,7.516632974147796631e-02,1.514533460140228271e-01,-7.335372269153594971e-02,-2.269662357866764069e-02,1.148874834179878235e-01,-1.758235134184360504e-02,-2.091346383094787598e-01,1.256276369094848633e-01,-1.097238734364509583e-01,1.654345914721488953e-02,3.419468924403190613e-02,2.606977708637714386e-02,1.688614189624786377e-01,-3.412685990333557129e-01,1.558385014533996582e+00,-8.318510651588439941e-02,1.423112750053405762e+00,3.100985288619995117e-01,2.648598551750183105e-01,8.358803391456604004e-02,3.068476617336273193e-01,-1.450565695762634277e+00,-5.787090659141540527e-01,1.308998823165893555e+00,-9.868508577346801758e-02,2.666551172733306885e-01,-4.209976196289062500e-01
1.518100142478942871e+00,4.536946773529052734e+00,8.152140974998474121e-01,-3.359409421682357788e-02,-3.275791555643081665e-02,-6.932747364044189453e-01,7.191442847251892090e-01,6.920742243528366089e-02,4.315735772252082825e-02,7.472023367881774902e-02,1.510148346424102783e-01,-7.278774678707122803e-02,-2.248657494783401489e-02,1.144365668296813965e-01,-1.793974265456199646e-02,-2.096173763275146484e-01,1.254881471395492554e-01,-1.096615642309188843e-01,1.636643335223197937e-02,3.335534408688545227e-02,2.621258422732353210e-02,1.687815636396408081e-01,-3.369609117507934570e-01,1.560565114021301270e+00,-8.045876771211624146e-02,1.422441601753234863e+00,3.091117143630981445e-01,2.649873793125152588e-01,8.646885305643081665e-02,3.119992613792419434e-01,-1.452076315879821777e+00,-5.833408832550048828e-01,1.308696508407592773e+00,-9.835131466388702393e-02,2.668615579605102539e-01,-4.225229918956756592e-01
1.518195509910583496e+00,4.537090778350830078e+00,8.152316212654113770e-01,-3.345738351345062256e-02,-3.271703794598579407e-02,-6.931515932083129883e-01,7.192711830139160156e-01,6.879062205553054810e-02,4.273401573300361633e-02,7.449804991483688354e-02,1.506714075803756714e-01,-7.237423211336135864e-02,-2.232180163264274597e-02,1.139931753277778625e-01,-1.828174293041229248e-02,-2.099024206399917603e-01,1.255538165569305420e-01,-1.096968650817871094e-01,1.613595709204673767e-02,3.251088783144950867e-02,2.627927437424659729e-02,1.685855537652969360e-01,-3.324520885944366455e-01,1.562558889389038086e+00,-7.747334241867065430e-02,1.422371506690979004e+00,3.084945380687713623e-01,2.650267779827117920e-01,9.001461416482925415e-02,3.152212798595428467e-01,-1.453342437744140625e+00,-5.861907005310058594e-01,1.307953357696533203e+00,-9.844421595335006714e-02,2.669174075126647949e-01,-4.234564900398254395e-01
1.518277049064636230e+00,4.537190914154052734e+00,8.152359724044799805e-01,-3.337794914841651917e-02,-3.271985426545143127e-02,-6.931462883949279785e-01,7.192798852920532227e-01,6.860898435115814209e-02,4.240391775965690613e-02,7.452899217605590820e-02,1.504731923341751099e-01,-7.216610759496688843e-02,-2.222217246890068054e-02,1.136084869503974915e-01,-1.856493577361106873e-02,-2.099252045154571533e-01,1.258638352155685425e-01,-1.098836287856101990e-01,1.589114777743816376e-02,3.190977126359939575e-02,2.633007988333702087e-02,1.683619916439056396e-01,-3.281004428863525391e-01,1.564140081405639648e+00,-7.372290641069412231e-02,1.422750234603881836e+00,3.078507483005523682e-01,2.653696238994598389e-01,9.451423585414886475e-02,3.169077038764953613e-01,-1.454122424125671387e+00,-5.873609185218811035e-01,1.306952476501464844e+00,-9.925273805856704712e-02,2.667535245418548584e-01,-4.236949384212493896e-01
